id,Brand,Type,Chipset,Screen_Dimension
0,Samsung,"Galaxy A10 (Black, 2GB RAM and 32GB) with No Cost EMI/Additional Exchange Offers",Exynos 7884 octa core processor,6.2-inch
1,Samsung,"Galaxy A2 Core (Blue, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 7870 Octa-Core processor,5.0-inch
2,Samsung,"Galaxy A20 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 7884 octa core processor,6.4-inch
3,Samsung,"Galaxy A30 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 7904 octa core processor,6.4-inch
4,Samsung,"Galaxy A50 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 9610 Octa Core Processor,6.4-inch
5,Samsung,"Galaxy A6 (Black, 4GB RAM, 64GB Storage) with Offers",Exynos 7870 octa core processor,5.6-inch
6,Samsung,Galaxy A7 SM-A710FZDFINS (Gold),Exynos 7880 octa core processor,5.7-inch
7,Samsung,"Galaxy A70 (Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Qualcomm Snapdragon SDM675 octa core processor,6.7-inch
8,Samsung,"Galaxy A8 Star (Black, 6GB RAM, 64GB Storage)",SDM660 Snapdragon Qualcomm octa core processor,6.3-inch
9,Samsung,"Galaxy A8+ (Black, 6GB RAM, 64GB Storage)",Exyn operating system 7885 octa core processor,6.0-inch
10,Samsung,"Galaxy J4 (Black, 32GB) with No Cost EMI/Additional Exchange Offers",Exynos 7570 quad core processor,5.5-inch
11,Samsung,"Galaxy J6 (Black, 4GB RAM, 64GB Storage)",Exyn operating system 7870 octa core processor,5.6-inch
12,Samsung,"Galaxy M10 (Charcoal Black, 3+32GB)",Exynos 7870 octa-core processor,"6.22"""
13,Samsung,"Galaxy M20 (Charcoal Black, 3+32GB)",Exynos 7904 octa-core processor,"6.3"""
14,Samsung,"Galaxy M30 (Gradation Black, 4+64 GB)",Exynos 7904 octa core processor,6.4-inch
15,Samsung,"Galaxy M40 (Cocktail Orange, 6GB RAM, 128GB Storage)",Qualcomm Snapdragon SD 675 octa core processor,6.3-inch
16,Samsung,"Galaxy Note 9 (Midnight Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 9810 octa core processor,6.4-inch
17,Samsung,"Galaxy S10 Plus (Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 9820 octa core processor,6.4-inch
18,Samsung,"Galaxy S10e (Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Exynos 9820 octa core processor,5.8-inch
19,Samsung,Galaxy S8 G950FD 64GB DUAL SIM Unlocked Phone-Midnight (Black),Exynos 8895,"5. 8"""
20,Samsung,Galaxy S8+ (Midnight Black) 128 GB with Offer,Exynos 8895,6.2 inch
21,Samsung,"Galaxy S9 (4GB RAM, 256GB Storage) Midnight Black",Exynos 9810 Octa-core Processor,5.8-inch
22,Samsung,"Galaxy S9 Plus SM-G965FZKDINS (Midnight Black, 6GB RAM, 64GB Storage) Without Offer",Exynos 9810 octa core processor,6.2-inch
23,Apple,iPhone 6s (32GB) - Gold,A9 chip,4.7-inch
24,Apple,iPhone 8 Plus (256GB) - Silver,A11 Bionic,5.5-inch
25,Apple,iPhone XR (128GB) - Black,A12 Bionic,6.1-inch
26,Apple,iPhone Xs (256GB) - Space Grey,A12 Bionic,5.8-inch
27,Apple,iPhone Xs Max (256GB) - Gold,A12 Bionic,6.5-inch
28,Apple,iPhoneÂ 7 (32GB) - Rose Gold,A10 Fusion chip,4.7-inch
29,Apple,iPhoneÂ 7 Plus (128GB) - Rose Gold,A10 Fusion chip,5.5-inch
30,Google,"Pixel 2 XL (18:9 Display, 64 GB) Black",Qualcomm Snapdragon 835 64-bit octa core processor,6-inch
31,Honor,"10 Lite (Midnight Black, 3GB RAM, 32GB Storage)",Kirin 710 octa core processor,6.21-inch
32,Honor,"7C (Black, 3GB RAM, 32GB Storage)",Qualcomm SDM450 octa core processor,5.99-inch
33,Honor,7S [ 2gb+16gb ] Blue,Mediatek MT6739 Cortex A53 Processor,5.45 inch
34,Honor,"8C (Black, 4GB RAM, 32GB Storage)",Snapdragon 632 octa core processor,6.26-inch
35,Honor,"8X (Black, 4GB RAM, 64GB Storage)",Kirin 710 octa core processor,6.5-inch
36,Honor,"9 Lite (Black, 4GB RAM, 64GB Storage)",Kirin 659 octa core processor,5.65-inch
37,Honor,"9N (Black, 4GB RAM, 128GB Storage)",Kirin 659 octa core processor,5.84-inch
38,HTC,"Desire 12 + (Cool Black, 3GB RAM, 32GB Storage)",Qualcomm Snapdragon 450 64-bit octa core processor,6-inch
39,HTC,Desire 820G Plus (Milkyway Grey),MT6592 octa core processor,5.5-inch
40,HUAWEI,"MediaPad T5 Tablet (10.1 inch, 32GB, Wi-Fi + 4G LTE) Black",Kirin 659 octa-core processor,10.1-inch
41,Huawei,"Nova 3i (Black, 4GB RAM, 128GB Storage)",Kirin 710 Octa core processor,6.3-inch
42,Huawei,"P30 Lite (Midnight Black, 4GB RAM, 128GB Storage)",Kirin 710 octa core processor,6.15-inch
43,Huawei,"P30 Pro (Breathing Crystal, 8GB RAM, 256GB Storage)",Kirin 980 octa core processor,6.47-inch
44,Huawei,"Y9 2019 (Black, 4GB RAM, 64GB Storage)",Kirin 710 octa core processor,6.5-inch
45,Lava,"Z40 (Gold, 1GB RAM, 8GB Storage)",Spectrum SC9832 quad core processor,4-inch
46,Lava,"Z50 (Black, 1GB RAM, 8GB Storage)",MTK6737M quad core processor,4.5-inch
47,Lava,Z60 (Black),Mediatek MTK 6737M quad core processor,5-inch
48,Lava,Z60s (Gold),Mediatek MT 6739WW quad core processor,5-inch
49,Lava,"Z61 (Black, 2GB RAM, 16GB Storage) with Offers",Mediatek MT 6739WW quad core processor,5.45-inch
