id,Brand,Type,Chipset,Screen_Dimension
0,Samsung,Galaxy A10,Exynos 7884 Octa,"6.2 inches, 95.9 cm (~81.6% screen-to-body ratio)"
1,Samsung,Galaxy A20,Exynos 7884,"6.4 inches, 100.5 cm (~85.0% screen-to-body ratio)"
2,Samsung,Galaxy A2 Core,Exynos 7870 Octa (14 nm),"5.0 inches, 68.9 cm"
3,Samsung,Galaxy A30,Exynos 7904 (14 nm),"6.4 inches, 100.5 cm (~84.9% screen-to-body ratio)"
4,Samsung,Galaxy A6 (2018),Exynos 7870 Octa (14 nm),"5.6 inches, 79.6 cm (~75.0% screen-to-body ratio)"
5,Samsung,Galaxy A50,Exynos 9610 (10nm),"6.4 inches, 100.5 cm (~84.9% screen-to-body ratio)"
6,Samsung,Galaxy A7 (2017),Exynos 7880 (14 nm),"5.7 inches, 89.6 cm (~73.6% screen-to-body ratio)"
7,Samsung,Galaxy A8 Star (A9 Star),Qualcomm SDM660 Snapdragon 660 (14 nm),"6.3 inches, 100.7 cm (~80.6% screen-to-body ratio)"
8,Samsung,Galaxy A70,Qualcomm SDM675 Snapdragon 675 (11 nm),"6.7 inches, 108.4 cm (~86.0% screen-to-body ratio)"
9,Samsung,Galaxy A8+ (2018),Exynos 7885 (14 nm),"6.0 inches, 91.4 cm (~75.5% screen-to-body ratio)"
10,Samsung,Galaxy J6,Exynos 7870 Octa (14 nm),"5.6 inches, 80.1 cm (~76.5% screen-to-body ratio)"
11,Samsung,Galaxy J4,Exynos 7570 Quad (14 nm),"5.5 inches, 83.4 cm (~71.2% screen-to-body ratio)"
12,Samsung,Galaxy M10,Exynos 7870 Octa (14 nm),"6.22 inches, 96.6 cm (~82.1% screen-to-body ratio)"
13,Samsung,Galaxy M30,Exynos 7904 (14 nm),"6.4 inches, 105.2 cm (~88.1% screen-to-body ratio)"
14,Samsung,Galaxy M20,Exynos 7904 (14 nm),"6.3 inches, 97.4 cm (~83.6% screen-to-body ratio)"
15,Samsung,Galaxy M40,Qualcomm SDM675 Snapdragon 675 (11 nm),"6.3 inches, 97.4 cm (~84.9% screen-to-body ratio)"
16,Samsung,Galaxy S10+,"Exynos 9820 (8 nm) - EMEAQualcomm SDM855 Snapdragon 855 (7 nm) - USA/LATAM, China","6.4 inches, 103.8 cm (~88.9% screen-to-body ratio)"
17,Samsung,Galaxy Note9,"Exynos 9810 (10 nm) - EMEAQualcomm SDM845 Snapdragon 845 (10 nm) - USA/LATAM, China","6.4 inches, 103.2 cm (~83.4% screen-to-body ratio)"
18,Samsung,Galaxy S10e,"Exynos 9820 (8 nm) - EMEAQualcomm SDM855 Snapdragon 855 (7 nm) - USA/LATAM, China","5.8 inches, 82.8 cm (~83.3% screen-to-body ratio)"
19,Samsung,Galaxy S8+,Exynos 8895 (10 nm) - EMEAQualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,"6.2 inches, 98.3 cm (~84.0% screen-to-body ratio)"
20,Samsung,Galaxy S8,Exynos 8895 (10 nm) - EMEAQualcomm MSM8998 Snapdragon 835 (10 nm) - USA & China,"5.8 inches, 84.8 cm (~83.6% screen-to-body ratio)"
21,Samsung,Galaxy S9,"Exynos 9810 (10 nm) - EMEAQualcomm SDM845 Snapdragon 845 (10 nm) - USA/LATAM, China","5.8 inches, 84.8 cm (~83.6% screen-to-body ratio)"
22,Apple,iPhone 6s,Apple A9 (14 nm),"4.7 inches, 60.9 cm (~65.6% screen-to-body ratio)"
23,Samsung,Galaxy S9+,"Exynos 9810 (10 nm) - EMEAQualcomm SDM845 Snapdragon 845 (10 nm) - USA/LATAM, China","6.2 inches, 98.3 cm (~84.2% screen-to-body ratio)"
24,Apple,iPhone 8 Plus,Apple A11 Bionic (10 nm),"5.5 inches, 83.4 cm (~67.4% screen-to-body ratio)"
25,Apple,iPhone XS,Apple A12 Bionic (7 nm),"5.8 inches, 84.4 cm (~82.9% screen-to-body ratio)"
26,Apple,iPhone XR,Apple A12 Bionic (7 nm),"6.1 inches, 90.3 cm (~79.0% screen-to-body ratio)"
27,Apple,iPhone XS Max,Apple A12 Bionic (7 nm),"6.5 inches, 102.9 cm (~84.4% screen-to-body ratio)"
